FM,Label,SD Label,Wavelength/nm,Lamp,Lens,Type,Power/mW
Old,UV,UV,345,100,10x,LMP,7.42
Old,UV,UV,345,100,20x,LMP,3.46
Old,UV,UV,345,100,50x,LMP,2.35
Old,UV,UV,345,100,100x,LMP,0.258
Old,UV,UV,345,100,100x,MP,2.88
Old,UV,UV,345,100,50x,MP,3.93
Old,UV,UV,345,50,10x,LMP,3.98
Old,UV,UV,345,50,20x,LMP,1.85
Old,UV,UV,345,50,50x,LMP,1.28
Old,UV,UV,345,50,100x,LMP,0.140
Old,UV,UV,345,50,100x,MP,1.52
Old,UV,UV,345,50,50x,MP,2.10
Old,UV,UV,345,25,10x,LMP,1.78
Old,UV,UV,345,25,20x,LMP,0.827
Old,UV,UV,345,25,50x,LMP,0.568
Old,UV,UV,345,25,100x,LMP,0.063
Old,UV,UV,345,25,100x,MP,0.691
Old,UV,UV,345,25,50x,MP,0.932
Old,UV,UV,345,12,10x,LMP,0.777
Old,UV,UV,345,12,20x,LMP,0.363
Old,UV,UV,345,12,50x,LMP,0.250
Old,UV,UV,345,12,100x,LMP,0.028
Old,UV,UV,345,12,100x,MP,0.306
Old,UV,UV,345,12,50x,MP,0.423
Old,UV,UV,345,6,10x,LMP,0.389
Old,UV,UV,345,6,20x,LMP,0.182
Old,UV,UV,345,6,50x,LMP,0.127
Old,UV,UV,345,6,100x,LMP,0.014
Old,UV,UV,345,6,100x,MP,0.151
Old,UV,UV,345,6,50x,MP,0.211
Old,UV,UV,345,3,10x,LMP,0.189
Old,UV,UV,345,3,20x,LMP,0.089
Old,UV,UV,345,3,50x,LMP,0.060
Old,UV,UV,345,3,100x,LMP,0.0068
Old,UV,UV,345,3,100x,MP,0.071
Old,UV,UV,345,3,50x,MP,0.095
Old,UB,Blue,470,100,10x,LMP,25.37
Old,UB,Blue,470,100,20x,LMP,24.15
Old,UB,Blue,470,100,50x,LMP,15.61
Old,UB,Blue,470,100,100x,LMP,9.72
Old,UB,Blue,470,100,100x,MP,10.10
Old,UB,Blue,470,100,50x,MP,19.81
Old,UB,Blue,470,50,10x,LMP,10.72
Old,UB,Blue,470,50,20x,LMP,10.22
Old,UB,Blue,470,50,50x,LMP,6.69
Old,UB,Blue,470,50,100x,LMP,4.19
Old,UB,Blue,470,50,100x,MP,4.28
Old,UB,Blue,470,50,50x,MP,8.40
Old,UB,Blue,470,25,10x,LMP,4.94
Old,UB,Blue,470,25,20x,LMP,4.67
Old,UB,Blue,470,25,50x,LMP,3.05
Old,UB,Blue,470,25,100x,LMP,1.89
Old,UB,Blue,470,25,100x,MP,1.96
Old,UB,Blue,470,25,50x,MP,3.87
Old,UB,Blue,470,12,10x,LMP,2.27
Old,UB,Blue,470,12,20x,LMP,2.13
Old,UB,Blue,470,12,50x,LMP,1.36
Old,UB,Blue,470,12,100x,LMP,0.83
Old,UB,Blue,470,12,100x,MP,0.87
Old,UB,Blue,470,12,50x,MP,1.70
Old,UB,Blue,470,6,10x,LMP,1.09
Old,UB,Blue,470,6,20x,LMP,1.03
Old,UB,Blue,470,6,50x,LMP,0.665
Old,UB,Blue,470,6,100x,LMP,0.425
Old,UB,Blue,470,6,100x,MP,0.423
Old,UB,Blue,470,6,50x,MP,0.850
Old,UB,Blue,470,3,10x,LMP,0.520
Old,UB,Blue,470,3,20x,LMP,0.494
Old,UB,Blue,470,3,50x,LMP,0.316
Old,UB,Blue,470,3,100x,LMP,0.203
Old,UB,Blue,470,3,100x,MP,0.211
Old,UB,Blue,470,3,50x,MP,0.421
Old,WG,Green,520,100,10x,LMP,40.90
Old,WG,Green,520,100,20x,LMP,39.87
Old,WG,Green,520,100,50x,LMP,24.76
Old,WG,Green,520,100,100x,LMP,15.78
Old,WG,Green,520,100,100x,MP,17.10
Old,WG,Green,520,100,50x,MP,33.94
Old,WG,Green,520,50,10x,LMP,17.10
Old,WG,Green,520,50,20x,LMP,16.46
Old,WG,Green,520,50,50x,LMP,10.54
Old,WG,Green,520,50,100x,LMP,6.66
Old,WG,Green,520,50,100x,MP,7.37
Old,WG,Green,520,50,50x,MP,14.6
Old,WG,Green,520,25,10x,LMP,7.90
Old,WG,Green,520,25,20x,LMP,7.52
Old,WG,Green,520,25,50x,LMP,4.86
Old,WG,Green,520,25,100x,LMP,3.04
Old,WG,Green,520,25,100x,MP,3.41
Old,WG,Green,520,25,50x,MP,6.63
Old,WG,Green,520,12,10x,LMP,3.42
Old,WG,Green,520,12,20x,LMP,3.67
Old,WG,Green,520,12,50x,LMP,2.21
Old,WG,Green,520,12,100x,LMP,1.38
Old,WG,Green,520,12,100x,MP,1.50
Old,WG,Green,520,12,50x,MP,2.93
Old,WG,Green,520,6,10x,LMP,1.70
Old,WG,Green,520,6,20x,LMP,1.62
Old,WG,Green,520,6,50x,LMP,1.063
Old,WG,Green,520,6,100x,LMP,0.670
Old,WG,Green,520,6,100x,MP,0.770
Old,WG,Green,520,6,50x,MP,1.462
Old,WG,Green,520,3,10x,LMP,0.845
Old,WG,Green,520,3,20x,LMP,0.788
Old,WG,Green,520,3,50x,LMP,0.523
Old,WG,Green,520,3,100x,LMP,0.327
Old,WG,Green,520,3,100x,MP,0.349
Old,WG,Green,520,3,50x,MP,0.691
Old,WY,Yellow,550,100,10x,LMP,84.8
Old,WY,Yellow,550,100,20x,LMP,81.5
Old,WY,Yellow,550,100,50x,LMP,51.8
Old,WY,Yellow,550,100,100x,LMP,33.47
Old,WY,Yellow,550,100,100x,MP,37.3
Old,WY,Yellow,550,100,50x,MP,72.0
Old,WY,Yellow,550,50,10x,LMP,35.3
Old,WY,Yellow,550,50,20x,LMP,34.1
Old,WY,Yellow,550,50,50x,LMP,21.6
Old,WY,Yellow,550,50,100x,LMP,13.83
Old,WY,Yellow,550,50,100x,MP,15.45
Old,WY,Yellow,550,50,50x,MP,30.2
Old,WY,Yellow,550,25,10x,LMP,16.01
Old,WY,Yellow,550,25,20x,LMP,15.35
Old,WY,Yellow,550,25,50x,LMP,9.90
Old,WY,Yellow,550,25,100x,LMP,6.34
Old,WY,Yellow,550,25,100x,MP,7.09
Old,WY,Yellow,550,25,50x,MP,13.77
Old,WY,Yellow,550,12,10x,LMP,7.16
Old,WY,Yellow,550,12,20x,LMP,7.07
Old,WY,Yellow,550,12,50x,LMP,4.33
Old,WY,Yellow,550,12,100x,LMP,2.78
Old,WY,Yellow,550,12,100x,MP,3.14
Old,WY,Yellow,550,12,50x,MP,6.05
Old,WY,Yellow,550,6,10x,LMP,3.51
Old,WY,Yellow,550,6,20x,LMP,3.39
Old,WY,Yellow,550,6,50x,LMP,2.20
Old,WY,Yellow,550,6,100x,LMP,1.38
