## IP Address	user		hostname

# Ubuntu
192.168.2.133	robin		robin
192.168.2.205	freedommill	mill
192.168.2.169   quanta      roadrunner
192.168.2.210   finch       photonics
192.168.2.218   photon      oriole

# Fedora
192.168.2.197	freedombarn	localhost
192.168.2.122	freedommill	localhost
192.168.2.142	liberty	canada
192.168.2.220	liberty	canada (WLAN)
192.168.2.165	freedomfarm	liberty
192.168.2.131	freedomfarm	liberty (WLAN)

# Raspbian
192.168.2.206	pi		fruitcake0
192.168.2.194	pi		fruitcake1
